Anio,DepartamentoOrigen,PaísDestino,VolúmenToneladas
2006,Amazonas,Estados Unidos,76.85
2006,Antioquia,Alemania,17314.339999999997
2006,Antioquia,Antigua y Barbuda,2.4
2006,Antioquia,Antillas Holandesas,20.74
2006,Antioquia,Aruba,18.23
2006,Antioquia,Australia,191.92
2006,Antioquia,Austria,20.97
2006,Antioquia,Barbados,3.08
2006,Antioquia,Bolivia,9.350000000000001
2006,Antioquia,Bulgaria,20.98
2006,Antioquia,Bélgica,6594.36
2006,Antioquia,Canadá,3797.17
2006,Antioquia,Chile,99.94999999999997
2006,Antioquia,China,14.51
2006,Antioquia,Corea,458.4200000000001
2006,Antioquia,Costa Rica,0.0
2006,Antioquia,Costa de Marfil,1.92
2006,Antioquia,Cuba,2.37
2006,Antioquia,Dinamarca,855.0799999999999
2006,Antioquia,Dominica,2.84
2006,Antioquia,Ecuador,398.06
2006,Antioquia,Emiratos Árabes Unidos,62.54
2006,Antioquia,Eslovenia,159.39
2006,Antioquia,España,2067.54
2006,Antioquia,Estados Unidos,27219.879999999994
2006,Antioquia,Finlandia,2031.0100000000002
2006,Antioquia,Francia,1505.89
2006,Antioquia,Gibraltar,14.0
2006,Antioquia,Granada,2.5100000000000002
2006,Antioquia,Grecia,39.82
2006,Antioquia,Guyana,1.71
2006,Antioquia,Hong Kong,10.05
2006,Antioquia,Indonesia,19.2
2006,Antioquia,Irlanda,76.72999999999999
2006,Antioquia,Islandia,38.51
2006,Antioquia,Israel,562.6999999999999
2006,Antioquia,Italia,6216.349999999999
2006,Antioquia,Japón,5379.56
2006,Antioquia,Kuwait,2.42
2006,Antioquia,Malasia,40.61
2006,Antioquia,Marruecos,39.22
2006,Antioquia,México,57.359999999999985
2006,Antioquia,Noruega,958.5000000000001
2006,Antioquia,Panamá,6.779999999999999
2006,Antioquia,Países Bajos,2566.19
2006,Antioquia,Perú,4.48
2006,Antioquia,Polonia,461.23
2006,Antioquia,Portugal,158.26
2006,Antioquia,Puerto Rico,32.11
2006,Antioquia,Reino Unido,4504.24
2006,Antioquia,República Checa,125.91
2006,Antioquia,Rumania,38.51
2006,Antioquia,Rusia- Federación de,76.85
2006,Antioquia,San Vicente y las Granadinas,0.14
2006,Antioquia,Santa Lucia,1.1800000000000002
2006,Antioquia,Singapur,56.05
2006,Antioquia,Siria- República Árabe,296.8
2006,Antioquia,Sudáfrica,57.64
2006,Antioquia,Suecia,3249.67
2006,Antioquia,Suiza,20.26
2006,Antioquia,Surinam,17.3
2006,Antioquia,Trinidad y Tobago,18.360000000000003
2006,Antioquia,Turquía,22.53
2006,Antioquia,Venezuela,203.05
2006,Antioquia,ZFP Barranquilla,0.3
2006,Antioquia,ZFP Cartagena,2.16
2006,Antioquia,ZFP Cucuta,3.0
2006,Atlántico,Antigua y Barbuda,0.1
2006,Atlántico,Australia,1.0
2006,Atlántico,Canadá,104.89000000000001
2006,Atlántico,Estados Unidos,133.95999999999998
2006,Atlántico,Japón,162.63
2006,Atlántico,Puerto Rico,1.04
2006,Atlántico,Taiwán- Provincia de China,17.75
2006,Bogotá,Alemania,3647.1200000000003
2006,Bogotá,Antillas Holandesas,4.89
2006,Bogotá,Argentina,212.54999999999998
2006,Bogotá,Aruba,0.56
2006,Bogotá,Australia,268.96
2006,Bogotá,Austria,126.03
2006,Bogotá,Bulgaria,122.43
2006,Bogotá,Bélgica,5369.280000000001
2006,Bogotá,Canadá,1789.19
2006,Bogotá,Chile,8.999999999999998
2006,Bogotá,China,89.6
2006,Bogotá,Corea,632.4200000000001
2006,Bogotá,Dinamarca,170.24
2006,Bogotá,Ecuador,0.03
2006,Bogotá,Egipto,19.34
2006,Bogotá,Emiratos Árabes Unidos,19.25
2006,Bogotá,España,1044.0700000000002
2006,Bogotá,Estados Unidos,9597.629999999994
2006,Bogotá,Finlandia,335.68
2006,Bogotá,Francia,288.56000000000006
2006,Bogotá,Grecia,158.81
2006,Bogotá,Hong Kong,19.81
2006,Bogotá,Irlanda,134.63
2006,Bogotá,Islandia,19.59
2006,Bogotá,Israel,976.8800000000001
2006,Bogotá,Italia,4311.27
2006,Bogotá,Jamaica,57.83
2006,Bogotá,Japón,3284.0
2006,Bogotá,Jordania,57.730000000000004
2006,Bogotá,Líbano,118.92
2006,Bogotá,Marruecos,228.68000000000004
2006,Bogotá,México,86.25999999999999
2006,Bogotá,Noruega,104.22
2006,Bogotá,Nueva Zelandia,118.44
2006,Bogotá,Panamá,0.72
2006,Bogotá,Países Bajos,433.44
2006,Bogotá,Países no precisados en otra parte y desconocidos,3.06
2006,Bogotá,Perú,2.8600000000000003
2006,Bogotá,Polonia,691.9100000000001
2006,Bogotá,Portugal,24.76
2006,Bogotá,Reino Unido,1870.4300000000003
2006,Bogotá,República Checa,167.66
2006,Bogotá,Rumania,134.36
2006,Bogotá,Rusia- Federación de,0.0
2006,Bogotá,Siria- República Árabe,96.03999999999999
2006,Bogotá,Sudáfrica,3.5700000000000003
2006,Bogotá,Suecia,552.48
2006,Bogotá,Suiza,84.56
2006,Bogotá,Taiwán- Provincia de China,0.02
2006,Bogotá,Venezuela,117.65999999999998
2006,Bogotá,ZFP Bogotá,30.140000000000004
2006,Bolívar,México,10.0
2006,Boyacá,España,19.3
2006,Boyacá,Suecia,21.09
2006,Caldas,Alemania,8249.04
2006,Caldas,Antigua y Barbuda,0.0
2006,Caldas,Argentina,39.19
2006,Caldas,Australia,273.35
2006,Caldas,Austria,63.16
2006,Caldas,Belice,5.4399999999999995
2006,Caldas,Bulgaria,21.07
2006,Caldas,Bélgica,3904.390000000001
2006,Caldas,Canadá,6197.150000000001
2006,Caldas,Chile,25.06
2006,Caldas,China,175.0
2006,Caldas,Corea,461.16
2006,Caldas,Dinamarca,546.84
2006,Caldas,Ecuador,166.48000000000002
2006,Caldas,Emiratos Árabes Unidos,19.27
2006,Caldas,España,3103.3599999999997
2006,Caldas,Estados Unidos,23912.269999999997
2006,Caldas,Estonia,383.55
2006,Caldas,Finlandia,842.4
2006,Caldas,Francia,907.7499999999999
2006,Caldas,Hong Kong,61.52
2006,Caldas,Irlanda,11.7
2006,Caldas,Islandia,17.47
2006,Caldas,Israel,190.10999999999996
2006,Caldas,Italia,1062.89
2006,Caldas,Japón,15438.369999999999
2006,Caldas,Jordania,34.89
2006,Caldas,Letonia,5.35
2006,Caldas,Marruecos,38.53
